!ENTER	[] sil
!EXIT	[] sil
sil		sil 
hhaannxxNN	hh aa nn xx nn sp
hhaat0vvNN	hh aa t0 vv nn sp
hhaat0vvnnii	hh aa t0 vv nn ii sp
hhaayaNN	hh aa ya nn sp
hhaayvSSt0aa	hh aa yv t0 tt aa sp
hhee	hh ee sp
hheeS0s0aaLL	hh ee t0 ss aa ll sp
hheeS0s0aaLLii	hh ee t0 ss aa ll ii sp
hheeSSt0aa	hh ee t0 tt aa sp
hheeSSt0vvnnii	hh ee t0 tt vv nn ii sp
hheeSSt0vvnniip0aangmmaangii	hh ee t0 tt vv nn ii p0 aa ng mm aa ng ii sp
hheeSSxxLL	hh ee ss xx ll sp
hheeSSxxmmyv	hh ee ss xx mm yv sp
hheeSSxxnnaa	hh ee ss xx nn aa sp
hheek0aa	hh ee k0 aa sp
hheemmvvK0k0iik0aa	hh ee mm vv k0 kk ii k0 aa sp
hheengk0uuLL	hh ee ng k0 uu ll sp
hheengs0aaiik0ii	hh ee ng s0 aa ii k0 ii sp
hheengwiee	hh ee ng wi ee sp
hheengwillxxLL	hh ee ng wi ll xx ll sp
hheengwimmaaNNxxLL	hh ee ng wi mm aa nn xx ll sp
hhees0vv	hh ee s0 vv sp
hhees0vvK0xxLL	hh ee s0 vv k0 xx ll sp
hheet0oo	hh ee t0 oo sp
hheeya	hh ee ya sp
hhiiMMii	hh ii mm ii sp
hhiiMMxi	hh ii mm xi sp
hhiiMMxxlloo	hh ii mm xx ll oo sp
hhooK0xxNN	hh oo k0 xx nn sp
hhooNNthaaK0hhaaNN	hh oo nn th aa kh aa nn sp
hhoollaaK0hhoollaaK0	hh oo ll aa kh oo ll aa k0 sp
hhuuLLllyunghhaaNN	hh uu ll ll yu ng hh aa nn sp
hhuuLLllyunghhaak0oo	hh uu ll ll yu ng hh aa k0 oo sp
hhuuMMchyv	hh uu mm ch yv sp
hhuuNNhhuuNNhheec0iinniikkaa	hh uu nn hh uu nn hh ee c0 ii nn ii kk aa sp
hhuuchvvNNc0vvK0iiNN	hh uu ch vv nn c0 vv k0 ii nn sp
hhuuchvvNNc0vvK0xxlloo	hh uu ch vv nn c0 vv k0 xx ll oo sp
hhuuee	hh uu ee sp
